date,open,high,low,close
2012-10-17,114.844805,115.381027,114.671322,115.286392
2012-10-18,114.986740,115.538724,114.600345,114.986740
2012-10-19,114.773895,114.781776,112.802513,113.070618
2012-10-22,112.881326,113.291377,112.195289,113.086357
2012-10-23,111.864124,112.021832,111.051915,111.517159
2012-10-24,111.919272,112.053337,111.028216,111.201698
2012-10-25,111.990264,112.195284,110.846865,111.525009
2012-10-26,111.422530,111.848343,110.704944,111.461960
2012-10-31,111.856236,111.998170,110.933619,111.461960
2012-11-01,111.698461,112.770893,111.595958,112.628960
2012-11-02,113.299253,113.330802,111.509247,111.627525
2012-11-05,111.461917,112.108524,111.130715,111.856194
2012-11-06,112.195269,113.173079,112.076991,112.731491
2012-11-07,111.706376,111.722139,109.656135,110.176582
2012-11-08,110.160815,110.720692,108.765073,108.851814
2012-11-09,108.520632,109.955804,108.465439,108.946457
2012-11-12,109.285541,109.459024,108.788761,109.033211
2012-11-13,108.457571,109.806001,108.315637,108.654709
2012-11-14,108.985853,109.159324,106.943493,107.187943
2012-11-15,107.227431,107.629601,106.596587,107.006638
2012-11-16,107.164322,107.747855,106.218061,107.534943
2012-11-19,108.741436,109.727127,107.566500,109.711365
2012-11-20,109.537881,109.940038,108.883380,109.758675
2012-11-21,109.853302,110.058334,109.632509,109.963699
2012-11-23,110.499924,111.501378,110.428945,111.461960
2012-11-26,110.909921,111.469799,110.547194,111.225349
2012-11-27,111.114985,111.493487,110.586656,110.657623
2012-11-28,110.208119,111.611742,109.608823,111.548668
2012-11-29,111.966619,112.376657,111.477708,112.069122
2012-11-30,112.084885,112.305678,111.706383,112.092766
2012-12-03,112.605292,112.699914,111.454000,111.540741
2012-12-04,111.532861,111.871932,111.083380,111.383034
2012-12-05,111.477730,112.100694,110.689177,111.580246
2012-12-06,111.477753,112.006082,111.312163,111.958771
2012-12-07,112.392390,112.518561,111.714234,112.297768
2012-12-10,112.140104,112.613228,112.092781,112.345123
2012-12-11,112.810377,113.638360,112.755185,113.110031
2012-12-12,113.551625,113.985332,113.007522,113.165230
2012-12-13,113.094196,113.417505,112.187365,112.471245
2012-12-14,112.226858,112.431877,111.879893,112.053375
2012-12-17,112.345126,113.433333,112.313577,113.370247
2012-12-18,113.551614,114.734443,113.386013,114.631927
2012-12-19,114.758076,114.797506,113.740848,113.780266
2012-12-20,113.851255,114.450551,113.535827,114.434776
2012-12-21,112.903675,114.428434,112.721025,113.396042
2012-12-24,113.149877,113.213410,112.919580,113.046646
2012-12-26,113.276895,113.332491,112.252453,112.570107
2012-12-27,112.601885,112.832194,111.116837,112.419235
2012-12-28,111.688630,112.308063,111.077135,111.204201
2012-12-31,110.910361,113.213378,110.815055,113.094261
2013-01-02,115.238476,116.064382,114.936697,115.992912
